"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0K470","2020-03-17 00:00:00","97.000","0.000","0.200","16.400","0.920","1009.200","","0.000","-99.000","-99.000","-99.000","24.800","","14.300",""
"C0R720","2020-03-17 00:00:00","214.000","354.000","4.600","17.300","0.700","997.300","","0.000","-99.000","-99.000","-99.000","19.400","","16.100",""
"C0V650","2020-03-17 00:00:00","28.000","125.000","1.200","20.300","0.630","1019.300","","0.000","-99.000","-99.000","-99.000","24.000","","16.800",""
"C0H9C0","2020-03-17 00:00:00","3402.000","309.000","1.700","3.000","0.920","677.500","","0.000","-99.000","-99.000","-99.000","7.900","","1.000",""
"C0U780","2020-03-17 00:00:00","15.000","275.000","0.800","15.500","0.700","1021.400","","0.000","-99.000","-99.000","-99.000","22.200","","13.200",""
"C0U760","2020-03-17 00:00:00","22.000","308.000","0.300","13.500","0.950","1021.800","","0.000","-99.000","-99.000","-99.000","23.300","","12.000",""
"C0X290","2020-03-17 00:00:00","10.000","0.000","0.000","20.500","0.670","1019.500","","0.000","-99.000","-99.000","-99.000","23.600","","16.700",""
"C0E830","2020-03-17 00:00:00","37.000","185.000","1.300","19.500","0.600","1015.900","","0.000","-99.000","-99.000","-99.000","23.100","","12.500",""
"C0K330","2020-03-17 00:00:00","38.000","0.000","0.000","19.000","0.680","1015.700","","0.000","-99.000","-99.000","-99.000","25.700","","15.200",""
"C0M660","2020-03-17 00:00:00","40.000","228.000","1.300","19.900","0.620","1016.400","","0.000","-99.000","-99.000","-99.000","24.600","","15.800",""
"C0D580","2020-03-17 00:00:00","120.000","0.000","0.000","15.100","0.920","1006.300","","0.000","-99.000","-99.000","-99.000","24.700","","9.300",""
"C0R640","2020-03-17 00:00:00","21.000","80.000","1.600","21.200","0.570","1019.100","","0.000","-99.000","-99.000","-99.000","24.200","","17.600",""
"C0E810","2020-03-17 00:00:00","53.000","144.000","0.600","14.200","0.920","1014.700","","0.000","-99.000","-99.000","-99.000","25.000","","9.400",""
"C0G830","2020-03-17 00:00:00","27.000","160.000","1.100","18.200","0.920","1016.000","","0.000","-99.000","-99.000","-99.000","24.000","","15.100",""
"C0A550","2020-03-17 00:00:00","422.000","0.000","0.200","14.500","0.760","973.600","","0.000","-99.000","-99.000","-99.000","19.200","","5.200",""
